ID	atx12_1	atx12_2	atx12_3	atxr7_1	atxr7_2	atxr7_3	wt_1	wt_2	wt_3	
AT1G01010	47	46	97	30	41	47	21	68	44	
AT1G01020	120	118	102	89	80	138	113	119	115	
AT1G03987	0	0	0	0	0	0	0	0	0	
AT1G01030	45	32	122	44	49	63	16	29	28	
AT1G01040	291	319	358	230	278	367	250	278	311	
AT1G03993	2	2	0	0	3	2	1	0	0	
AT1G01050	530	733	496	447	418	478	544	634	450	
AT1G03997	0	0	0	0	0	0	0	0	0	
AT1G01060	9	17	35	5	7	27	3	56	22	
AT1G01070	32	57	58	35	28	40	23	45	51	
AT1G04003	0	0	0	0	0	0	0	0	0	
AT1G01080	538	697	307	488	425	516	511	686	400	
AT1G01090	1316	1522	1292	1126	1310	1262	1137	1662	1171	
AT1G01100	1820	2238	1680	1446	1457	1714	1649	1893	1794	
AT1G01110	42	72	45	34	40	32	33	50	25	
AT1G01120	172	185	159	148	149	143	188	155	116	
AT1G01130	9	23	8	6	4	11	15	5	1	
AT1G01140	246	328	526	294	347	368	290	490	452	
AT1G01150	1	2	0	0	1	3	0	1	0	
AT1G01160	254	288	259	273	308	288	264	324	282	
AT1G04007	0	0	0	0	0	1	0	1	0	
AT1G01170	621	765	493	427	516	683	622	640	530	
AT1G04013	1	0	1	0	0	0	0	0	0	
AT1G01180	91	77	78	72	48	59	76	101	95	
AT1G01190	18	3	14	26	32	33	24	31	24	
AT1G01200	16	19	14	15	5	1	7	10	8	
AT1G01210	78	79	82	53	63	100	81	88	95	
AT1G04017	0	0	0	0	0	0	0	0	0	
AT1G01220	268	349	200	226	240	227	197	294	202	
AT1G04023	0	0	0	0	0	0	0	0	0	
AT1G01225	16	35	20	15	8	24	22	19	11	
AT1G01230	165	165	143	110	136	157	160	198	134	
AT1G01240	219	275	187	205	172	190	225	192	238	
AT1G01250	11	27	13	14	4	8	15	19	17	
AT1G01260	129	132	164	119	127	121	121	105	107	
AT1G01270	0	0	0	0	0	0	0	0	1	
AT1G01280	0	0	0	0	0	0	0	0	0	
AT1G01290	81	101	82	89	70	79	74	84	82	
AT1G01300	538	607	428	390	407	378	408	513	399	
AT1G01305	0	0	0	0	0	0	0	0	0	
AT1G01310	2	2	0	5	0	0	0	1	0	
AT1G01320	3782	4117	3287	3636	3583	4172	3583	4610	3880	
AT1G01335	0	0	0	0	0	0	0	0	1	
AT1G01340	20	46	56	31	32	29	32	33	35	
AT1G01350	127	157	133	117	116	144	123	130	125	
AT1G01355	1	0	0	0	0	0	1	0	0	
AT1G01360	96	104	92	65	88	108	88	95	94	
AT1G01370	46	49	34	38	37	22	35	40	31	
AT1G01380	2	9	1	1	4	2	6	7	1	
AT1G01390	84	75	13	54	39	40	28	31	8	
AT1G01400	0	0	0	0	0	0	0	0	0	
AT1G01410	0	0	0	0	0	0	0	0	0	
AT1G01420	50	66	14	28	21	31	41	37	38	
AT1G01430	348	334	259	298	297	400	377	532	420	
AT1G01440	138	125	127	128	139	127	128	166	119	
AT1G01448	117	122	132	119	98	113	131	141	141	
AT1G01450	0	0	1	1	0	0	0	0	0	
AT1G01453	3	7	1	0	3	1	0	2	1	
AT1G01460	1	0	6	0	0	0	0	0	0	
AT1G01470	536	942	567	472	431	394	479	476	354	
AT1G01480	2	9	72	1	7	27	2	1	25	
AT1G01490	588	667	1038	651	728	925	588	725	742	
AT1G01500	115	147	122	122	120	138	98	188	171	
AT1G01510	289	330	259	234	264	262	241	317	252	
AT1G01520	0	2	7	3	1	1	2	7	0	
AT1G01530	0	0	0	0	0	0	0	0	0	
AT1G01540	484	521	451	417	451	453	438	505	454	
AT1G01550	728	911	728	682	647	815	725	963	757	
AT1G01560	9	33	26	5	14	4	4	21	17	
AT1G01570	34	44	15	14	12	14	17	17	10	
AT1G01580	5	72	7	4	6	0	5	7	3	
AT1G01590	2	7	5	4	7	1	6	2	4	
AT1G01600	36	51	43	36	41	38	33	38	27	
AT1G01610	324	341	361	262	317	317	291	388	278	
AT1G01620	1743	1640	1701	1363	1348	1817	1649	1947	1567	
AT1G01630	224	341	202	207	215	223	170	290	207	
AT1G01640	63	84	67	48	42	68	54	57	59	
AT1G01650	273	314	232	179	211	251	238	294	279	
AT1G01660	7	6	8	3	18	9	12	8	5	
AT1G01670	1	2	20	2	27	15	11	6	14	
AT1G01680	5	2	2	0	0	0	8	1	0	
AT1G01690	47	84	51	53	34	43	55	58	57	
AT1G01695	5	2	5	3	3	6	3	1	3	
AT1G04033	0	1	0	1	0	0	0	0	0	
