ID	WT_1	WT_2	WT_3	r3_1	r3_2	r3_3	x127_1	x127_2	x127_3	x345_1	x345_2	x345_3	
AT1G01010	64	142	115	52	46	87	123	132	88	113	57	55
AT1G01020	196	211	186	251	214	271	203	234	190	178	258	108
AT1G03987	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01030	90	88	88	97	52	78	71	92	111	73	83	77
AT1G01040	676	779	692	755	635	818	675	949	667	725	875	492
AT1G03993	0	1	0	1	0	0	0	0	0	0	1	0
AT1G01050	992	1005	1046	1180	1003	1130	486	803	607	1087	1042	524
AT1G03997	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060	14	11	21	33	22	28	27	37	19	37	29	17
AT1G01070	71	98	96	40	37	75	94	118	113	140	78	66
AT1G04003	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	1143	1088	960	1256	983	1368	1021	1573	1405	1242	1547	910
AT1G01090	3962	3920	3248	3664	2912	4224	3219	4724	3598	3876	3901	2860
AT1G01100	2812	2940	2849	2723	2365	3284	2866	3743	2837	3791	3733	1980
AT1G01110	85	113	95	115	79	127	95	157	97	78	70	64
AT1G01120	635	613	587	1208	1957	1571	496	702	456	538	524	264
AT1G01130	21	34	18	199	74	296	26	29	16	29	21	11
AT1G01140	716	676	792	4004	4296	4406	953	888	759	969	796	334
AT1G01150	0	1	4	5	5	6	5	9	3	1	1	0
AT1G01160	645	709	432	694	596	826	574	914	658	652	769	679
AT1G04007	2	0	1	4	1	4	0	2	4	0	1	0
AT1G01170	1271	878	931	847	705	919	1054	1383	1251	1135	1358	558
AT1G04013	2	0	2	1	1	2	0	1	1	6	0	1
AT1G01180	168	148	119	218	170	233	199	209	174	105	134	79
AT1G01190	20	142	56	73	65	41	56	173	60	209	201	102
AT1G01200	10	10	24	5	8	8	16	28	15	26	17	4
AT1G01210	172	128	174	123	120	167	143	206	160	213	184	88
AT1G04017	0	0	0	0	3	1	0	0	0	0	3	1
AT1G01220	607	633	640	334	274	400	659	904	746	814	740	416
AT1G04023	0	0	0	0	0	0	0	0	0	0	1	0
AT1G01225	30	53	46	32	38	39	43	78	69	48	53	25
AT1G01230	304	355	311	396	296	423	283	451	313	311	426	196
AT1G01240	536	501	439	358	348	369	589	747	644	531	819	491
AT1G01250	58	62	81	49	35	23	43	65	35	48	50	15
AT1G01260	267	346	262	910	711	613	275	375	250	366	444	183
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	1	0	0
AT1G01290	200	211	203	133	172	191	195	296	196	221	215	162
AT1G01300	1045	1474	1261	2793	2971	3451	1274	1946	1510	1669	1728	1108
AT1G01305	0	0	0	0	1	0	0	0	0	0	1	1
AT1G01310	0	1	2	1	3	1	0	0	0	0	0	0
AT1G01320	11388	11827	10734	7525	6217	6767	9441	14715	10921	12008	14855	9367
AT1G01335	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01340	37	76	67	93	97	135	75	88	31	49	32	39
AT1G01350	330	356	291	382	294	377	289	419	340	374	348	262
AT1G01355	1	1	1	6	7	2	8	13	9	2	2	0
AT1G01360	198	214	204	161	98	150	185	286	204	144	234	102
AT1G01370	76	68	79	67	66	77	77	91	88	77	67	39
AT1G01380	0	10	7	6	3	7	0	7	4	17	8	6
AT1G01390	136	98	55	17	9	23	62	256	181	23	114	47
AT1G01400	1	2	0	0	0	0	0	0	5	0	0	0
AT1G01410	0	0	0	0	0	0	2	0	0	0	0	0
AT1G01420	89	113	88	53	30	64	119	206	118	53	80	34
AT1G01430	1319	1092	921	771	737	1062	1021	1499	1224	771	952	645
AT1G01440	423	426	377	596	486	529	372	589	386	464	548	415
AT1G01448	381	343	310	380	340	481	281	468	340	366	493	342
AT1G01450	1	1	1	0	0	0	0	1	0	1	0	0
AT1G01453	1	2	2	0	0	1	8	5	0	5	3	12
AT1G01460	0	0	0	1	0	0	0	1	1	0	1	1
AT1G01470	1947	2525	1813	4267	5676	4140	1676	2417	1625	2578	2932	1321
AT1G01480	3	8	5	72	44	38	12	13	4	10	8	9
AT1G01490	878	777	716	561	611	892	1057	1263	1085	797	1007	639
AT1G01500	361	380	373	384	254	347	429	525	449	395	460	192
AT1G01510	713	755	652	830	592	841	659	1073	757	855	946	507
AT1G01520	3	9	12	51	15	9	8	11	10	10	20	5
AT1G01530	0	0	0	2	0	0	0	0	1	1	1	0
AT1G01540	1298	1102	942	1875	2138	2423	949	1505	1096	1101	1344	732
AT1G01550	2515	2703	2284	3272	3319	3305	2459	3411	2110	2595	3214	1494
AT1G01560	14	23	28	1207	561	201	17	17	17	21	23	3
AT1G01570	45	81	30	172	107	118	74	111	85	78	111	58
AT1G01580	19	50	32	22	24	480	18	110	32	14	39	51
AT1G01590	7	3	4	8	12	13	20	25	15	0	1	0
AT1G01600	76	68	62	151	157	174	133	231	170	79	103	65
AT1G01610	1047	983	860	1491	1124	1654	834	1274	985	991	1062	847
AT1G01620	5502	5430	4744	4737	4489	7228	4582	6389	4776	3921	4513	2451
AT1G01630	562	572	516	483	448	687	539	795	573	402	409	419
AT1G01640	68	183	146	94	104	117	149	216	155	150	155	150
AT1G01650	563	676	620	1505	1376	1229	509	738	556	921	839	398
AT1G01660	14	15	18	47	50	42	3	7	2	31	25	22
AT1G01670	47	24	34	43	40	41	2	9	8	34	30	28
AT1G01680	0	2	4	26	6	6	1	2	2	2	0	1
AT1G01690	128	139	98	83	90	80	123	189	130	131	151	87
AT1G01695	10	7	12	9	11	25	7	10	11	15	21	6
AT1G04033	0	0	1	0	0	1	0	2	3	0	0	0
AT1G04037	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01700	18	14	12	10	13	8	12	27	15	22	33	9
AT1G01710	629	661	603	778	665	791	577	827	636	739	946	424
AT1G01715	54	44	82	89	94	84	46	66	63	62	62	33
AT1G04043	0	1	1	4	8	2	0	0	2	1	2	0
AT1G01720	1776	1582	3965	5262	3961	3782	2129	2050	1869	2547	2183	1080
AT1G01725	89	86	84	153	132	134	63	113	100	26	30	9
AT1G04047	21	24	63	179	51	213	8	12	5	27	34	8
AT1G01730	343	385	455	652	426	633	468	590	389	451	526	236
AT1G01740	99	122	99	85	66	102	95	118	81	157	142	105
AT1G01750	12	42	14	1	1	2	43	31	1	47	31	71
AT1G04053	21	15	13	17	29	29	4	10	15	14	27	21
AT1G01760	62	50	43	55	38	64	28	44	27	73	60	37
AT1G04057	0	0	1	1	0	0	0	0	0	0	0	0
AT1G01770	621	578	586	847	811	854	713	843	720	780	897	376
AT1G01780	307	346	265	361	515	517	310	446	401	374	420	278
AT1G01790	2419	2681	2026	2813	2234	2602	2027	3468	2243	2164	3364	1469
AT1G04063	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01800	764	763	712	983	750	973	841	1133	852	973	1019	418
AT1G01810	11	9	4	8	5	8	18	14	7	6	9	4
AT1G01820	1164	1183	1079	1182	1079	1165	1168	1442	1066	1312	1621	760
AT1G01830	235	279	239	167	139	199	287	403	273	265	273	202
AT1G04067	0	0	0	5	1	3	3	1	0	3	1	1
AT1G01840	21	20	13	14	6	8	22	27	20	23	21	17
AT1G01860	218	255	228	191	146	197	245	328	310	319	383	184
AT1G04073	0	0	0	2	0	0	0	1	0	0	0	0
AT1G01870	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01880	37	44	35	36	19	32	52	64	65	45	55	25
AT1G01890	0	0	0	0	0	0	0	0	0	0	1	0
AT1G01900	224	278	172	267	163	185	213	376	260	243	286	139
AT1G04077	4	1	9	6	5	8	3	2	2	6	9	0
AT1G01910	895	866	841	687	646	842	785	965	719	864	1038	439
AT1G04083	0	0	0	2	1	0	0	0	0	0	1	0
AT1G01920	324	373	321	293	195	291	289	385	253	371	449	304
AT1G01930	346	341	333	438	363	489	314	389	377	366	383	218
AT1G01940	198	236	188	226	200	248	152	196	207	184	208	139
AT1G01950	321	335	324	739	702	764	302	389	315	322	351	200
AT1G01960	1828	2364	2242	2477	2035	2595	2115	2930	1763	2404	2593	1246
AT1G01970	613	556	558	324	291	310	496	716	644	579	820	418
AT1G01980	2	0	5	3	1	3	0	0	0	0	1	1
AT1G01990	580	564	524	665	728	744	584	857	661	688	768	530
AT1G02000	264	296	278	318	299	365	315	429	332	280	326	271
AT1G02010	253	242	175	141	119	161	190	285	207	195	284	178
AT1G02020	485	489	402	518	433	436	496	689	582	454	546	351
AT1G02030	3	9	5	4	4	1	7	12	5	3	9	10
AT1G02040	1	1	4	3	3	5	1	8	3	4	2	3
AT1G02050	180	145	162	166	152	215	157	241	166	214	208	156
AT1G02060	143	173	130	162	126	173	184	224	133	189	194	163
AT1G02065	178	169	84	162	215	215	303	497	356	112	178	131
AT1G02067	0	0	0	0	0	0	1	1	0	0	1	0
AT1G02070	11	7	5	3	3	7	4	10	5	7	13	4
AT1G02080	2385	3207	2876	2881	2482	2764	3340	4684	2699	3249	3779	2194
AT1G02090	541	621	561	635	608	788	494	728	566	650	662	489
AT1G02100	547	575	495	820	709	776	471	644	453	626	756	504
AT1G02110	663	709	612	701	692	771	443	682	455	799	978	702
AT1G02120	1200	1320	1148	1200	1020	1157	1220	1732	1278	1200	1544	852
AT1G02130	689	765	718	949	787	1076	801	1096	870	782	893	570
AT1G04087	0	0	0	1	0	1	0	0	0	0	0	0
AT1G02136	0	0	0	0	0	1	1	2	1	0	0	0
AT1G02140	1414	1445	1387	1606	1606	1854	1503	1870	1568	1529	1604	936
AT1G02145	391	372	370	397	383	444	373	449	339	414	508	276
AT1G02150	2627	2382	2275	2730	2261	2907	2695	3437	2950	3158	3568	1820
AT1G02160	299	287	262	314	314	399	243	284	284	311	432	233
AT1G02170	386	492	415	1085	1020	1076	503	717	495	529	525	389
AT1G02180	41	76	63	63	36	53	52	68	66	45	55	23
AT1G02190	125	82	54	82	83	60	334	651	415	55	87	58
AT1G02205	4226	3810	2693	904	731	894	3114	6124	4634	4306	4926	3985
AT1G04093	0	1	0	1	1	0	1	4	1	4	7	0
AT1G02210	0	0	0	0	0	0	0	0	0	0	0	1
AT1G02220	64	163	118	95	71	159	175	185	99	154	95	74
AT1G02228	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02230	15	10	299	13	2	12	8	17	5	4	6	3
AT1G02250	0	0	4	2	2	7	3	10	3	0	1	2
AT1G02260	311	354	285	345	316	304	356	526	378	379	446	197
AT1G02270	509	543	530	1077	1115	1085	458	720	533	556	616	399
AT1G02280	1266	1245	1160	1573	1278	1648	1141	1236	1280	1402	1649	818
AT1G02290	182	220	176	159	132	180	144	236	198	201	265	152
AT1G02300	505	409	339	288	220	383	412	619	536	465	613	277
AT1G02305	1648	1683	1463	1712	1367	1752	1291	1777	1469	2044	2171	1070
AT1G04097	0	0	0	0	0	0	1	0	0	1	2	0
AT1G02310	2	11	17	5	6	4	16	10	7	49	24	19
AT1G04103	0	0	1	0	1	1	0	1	2	1	1	2
AT1G02320	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02330	411	463	354	331	260	398	424	555	454	487	511	409
AT1G02335	279	465	248	148	113	152	295	453	170	271	293	203
AT1G02340	80	89	72	38	19	30	87	234	124	64	119	66
AT1G02350	21	18	25	17	28	25	13	36	31	31	26	18
AT1G02360	58	257	91	70	77	78	96	128	17	200	105	193
AT1G02370	159	179	194	114	99	117	219	206	174	191	205	117
AT1G02380	45	43	57	60	56	115	37	92	47	36	59	50
AT1G02390	124	156	124	757	822	745	44	143	64	209	149	105
AT1G02400	58	159	103	1712	1653	1404	59	94	35	191	118	91
AT1G02405	1	6	0	13	6	20	5	11	6	0	0	2
AT1G02410	287	368	297	372	333	333	329	486	362	311	385	195
AT1G02420	62	58	83	44	24	45	58	77	59	64	43	59
AT1G04117	0	0	0	1	0	0	1	0	0	1	0	0
AT1G02430	0	3	0	1	1	1	0	3	0	2	2	0
AT1G04123	1	3	5	4	3	0	4	6	1	7	4	2
AT1G02440	0	1	1	2	0	2	0	0	0	0	0	0
AT1G02450	10	9	22	12	12	3	27	39	32	5	8	5
AT1G02460	12	37	41	12	12	10	35	29	17	65	37	38
AT1G02470	14	3	39	27	22	25	26	16	20	17	16	2
AT1G02475	1258	1086	1103	869	769	852	1212	1607	1285	1271	1451	735
AT1G02480	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02490	4	2	0	1	2	8	2	6	2	1	1	1
AT1G02500	6657	8487	7321	6405	5629	6099	7928	10339	7848	9611	8192	6439
AT1G02510	0	0	0	0	0	0	1	1	4	0	0	1
AT1G02520	30	127	118	29	36	44	83	95	52	68	35	47
AT1G02530	7	11	9	3	1	7	23	26	10	10	17	10
AT1G02540	0	0	0	0	0	0	0	0	0	1	0	0
AT1G02550	0	0	0	0	0	0	0	0	1	0	0	0
AT1G02560	6071	5214	5133	7557	5915	7311	4890	7059	5764	5991	7498	2938
AT1G02570	3	7	4	6	0	7	5	5	5	14	5	9
AT1G02575	1	2	3	0	0	0	0	0	0	3	1	0
AT1G02580	2	3	0	0	4	0	6	8	1	0	0	0
AT1G04127	0	0	0	0	0	0	0	0	1	0	0	0
AT1G02590	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02610	136	98	55	149	123	241	150	179	155	84	155	108
AT1G02620	21	7	7	34	21	94	33	24	30	3	13	1
AT1G04133	1	5	2	7	13	9	5	5	4	4	3	2
AT1G04137	0	0	1	0	0	0	0	0	0	0	0	0
AT1G02630	21	14	11	6	20	18	21	51	20	8	22	11
AT1G02640	547	549	335	299	425	857	593	904	444	256	509	252
AT1G02650	30	21	8	45	48	62	26	34	19	7	23	9
AT1G02660	762	645	344	3760	4920	5361	346	433	308	741	889	330
AT1G02670	28	31	20	126	98	191	30	56	63	42	36	36
AT1G02680	204	185	156	251	174	245	172	233	224	215	271	189
AT1G02681	9	6	7	15	5	11	1	11	2	6	6	4
AT1G04143	0	0	0	0	0	0	0	0	0	1	0	0
AT1G02690	269	360	336	281	203	401	334	451	339	392	381	240
AT1G02700	5	4	9	11	4	3	1	3	1	4	15	6
AT1G02705	48	45	56	68	108	78	36	81	57	39	56	69
AT1G02710	1	0	1	1	1	4	1	0	2	0	1	0
AT1G02720	259	342	218	315	298	355	269	408	294	346	364	342
AT1G02730	993	1171	1012	738	380	846	986	1388	896	1206	1270	704
AT1G02740	185	169	183	333	321	308	154	205	153	154	209	104
AT1G02750	209	213	196	248	201	300	197	246	188	205	218	138
AT1G02760	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02770	8	7	9	20	21	16	12	4	11	4	4	2
AT1G02780	10129	11240	10270	9210	8049	11652	9353	12187	10031	13455	13888	9215
AT1G02790	0	0	1	0	0	0	1	0	0	0	0	0
AT1G02800	146	147	101	101	110	129	228	382	302	84	109	69
AT1G02810	105	485	153	243	104	608	210	256	72	316	263	285
AT1G02813	0	2	1	0	0	1	0	0	0	1	1	1
AT1G02816	182	216	241	236	246	289	252	250	189	247	226	110
AT1G02820	139	111	167	126	119	160	173	205	145	132	169	70
AT1G02830	0	0	0	0	0	0	0	1	0	0	0	0
AT1G02840	2005	2226	1861	2423	2238	2631	1819	2650	1973	2114	2665	1161
AT1G02850	1241	659	2173	1128	1257	535	3018	1124	1422	1761	426	234
AT1G02860	215	221	247	339	265	377	261	304	187	192	241	97
AT1G04147	0	0	0	0	0	0	1	0	0	2	0	0
AT1G02870	380	464	356	346	306	433	409	444	346	553	512	356
AT1G04153	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02880	230	313	553	397	345	316	311	324	322	341	340	215
AT1G02890	1723	2075	1852	1782	1394	1833	1801	2296	1525	1822	2444	1324
AT1G02900	68	200	99	68	78	83	108	161	60	177	151	123
AT1G02910	1217	1107	931	1213	891	1239	1118	1575	1213	1310	1528	595
AT1G02920	192	320	314	1962	1271	1436	442	266	167	706	275	310
AT1G02930	212	343	376	3126	2264	1416	592	254	220	731	295	253
AT1G02940	2	4	4	10	14	5	9	17	11	5	4	1
AT1G02950	111	139	133	33	64	64	117	134	77	128	153	80
AT1G02952	0	1	0	0	1	0	0	0	0	0	0	0
AT1G02960	353	337	293	341	296	365	225	378	275	303	501	204
AT1G02965	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02970	32	43	41	35	12	44	61	76	56	58	50	32
AT1G02980	2	3	4	0	2	3	0	0	4	4	2	2
AT1G02990	473	621	518	361	326	325	419	619	404	552	728	427
AT1G03000	716	685	533	817	705	857	690	957	710	666	981	405
AT1G03010	8	17	21	3	3	4	14	25	22	14	6	12
AT1G03020	29	11	20	22	7	11	45	50	41	95	31	35
AT1G03030	218	219	219	300	218	303	193	305	225	283	283	192
AT1G03040	853	872	919	946	836	987	882	1194	950	936	995	600
AT1G03050	1	2	1	0	1	0	0	0	1	1	0	1
AT1G03055	121	93	55	151	116	131	99	146	122	84	129	60
AT1G03060	1163	1773	1490	1521	1143	1300	1312	1948	1079	1817	1840	1121
AT1G03070	8	18	37	19	23	30	12	24	13	40	42	26
AT1G03080	1334	1810	1473	1930	1332	1308	1421	1929	1338	1741	1716	1322
AT1G03090	1005	917	596	1565	1490	2048	992	1049	790	818	1007	577
AT1G04157	0	0	0	0	0	1	0	0	0	0	0	0
AT1G03100	64	73	83	35	44	71	70	79	48	128	134	81
AT1G04163	4	6	3	40	39	124	0	1	1	1	1	0
AT1G03103	1	0	1	2	2	5	0	1	0	0	0	0
AT1G03106	0	0	4	2	1	0	0	1	1	0	0	4
AT1G03110	209	250	243	165	142	239	234	282	196	300	287	168
AT1G03120	12	18	10	15	5	13	11	28	9	20	31	19
AT1G03130	17769	14124	8702	11884	9983	12493	10164	21811	15833	9482	16961	12939
AT1G03140	761	846	722	1046	912	1174	679	1048	732	820	1044	675
