ID	WT1	WT2	atx345_1	atx345_2	
AT1G01010	5	3	42	36
AT1G01020	93	36	82	82
AT1G03987	0	0	0	0
AT1G01030	18	4	5	3
AT1G01040	26	30	89	138
AT1G03993	0	0	0	0
AT1G01050	543	345	431	637
AT1G03997	0	0	0	0
AT1G01060	1095	75	92	1510
AT1G01070	126	114	65	98
AT1G04003	0	0	0	0
AT1G01080	220	183	286	311
AT1G01090	750	920	1012	1271
AT1G01100	3000	1253	2169	2575
AT1G01110	7	4	5	8
AT1G01120	208	189	119	231
AT1G01130	13	3	1	6
AT1G01140	107	141	290	371
AT1G01150	0	3	0	1
AT1G01160	36	46	62	114
AT1G04007	0	0	2	0
AT1G01170	179	193	144	118
AT1G04013	4	0	1	1
AT1G01180	119	151	140	113
AT1G01190	31	21	43	30
AT1G01200	11	9	2	1
AT1G01210	72	30	55	94
AT1G04017	0	0	0	0
AT1G01220	37	91	141	151
AT1G04023	0	0	0	0
AT1G01225	8	17	14	11
AT1G01230	191	137	188	134
AT1G01240	11	64	131	48
AT1G01250	36	25	3	16
AT1G01260	23	24	39	63
AT1G01270	0	0	0	0
AT1G01280	0	0	0	1
AT1G01290	57	34	47	66
AT1G01300	476	348	406	464
AT1G01305	0	0	0	0
AT1G01310	0	0	0	0
AT1G01320	282	143	651	1151
AT1G01335	0	0	0	0
AT1G01340	25	18	66	79
AT1G01350	22	13	50	32
AT1G01355	1	3	0	2
AT1G01360	85	84	55	83
AT1G01370	15	15	23	29
AT1G01380	17	6	9	6
AT1G01390	49	29	10	35
AT1G01400	0	0	0	0
AT1G01410	0	0	0	0
AT1G01420	55	37	37	75
AT1G01430	152	195	222	308
AT1G01440	32	49	115	96
AT1G01448	5	18	3	2
AT1G01450	0	0	0	0
AT1G01453	0	0	0	0
AT1G01460	0	0	0	0
AT1G01470	404	442	327	329
AT1G01480	1	2	13	11
AT1G01490	199	67	119	252
AT1G01500	36	135	152	68
AT1G01510	66	70	180	187
AT1G01520	72	2	2	41
AT1G01530	0	0	0	2
AT1G01540	218	235	306	397
AT1G01550	529	572	684	714
AT1G01560	25	35	148	145
AT1G01570	5	12	3	7
AT1G01580	14	13	7	9
AT1G01590	2	3	0	0
AT1G01600	23	26	45	64
AT1G01610	311	201	251	402
AT1G01620	1371	1887	1456	1461
AT1G01630	91	89	127	160
AT1G01640	4	4	11	12
AT1G01650	375	273	338	400
AT1G01660	3	0	1	0
AT1G01670	2	2	5	8
AT1G01680	0	1	30	30
AT1G01690	6	1	14	8
AT1G01695	0	0	1	0
AT1G04033	1	0	0	0
AT1G04037	4	7	1	3
AT1G01700	5	3	3	8
AT1G01710	146	187	262	280
AT1G01715	9	4	3	7
AT1G04043	0	0	0	0
AT1G01720	540	381	213	471
AT1G01725	11	15	2	2
AT1G04047	0	0	0	0
AT1G01730	55	71	130	95
AT1G01740	27	28	23	15
AT1G01750	1	1	0	2
AT1G04053	0	0	0	0
AT1G01760	10	8	5	9
AT1G04057	0	0	0	0
AT1G01770	14	57	90	51
AT1G01780	15	20	45	36
AT1G01790	475	756	533	678
AT1G04063	0	0	0	0
AT1G01800	236	355	447	443
AT1G01810	1	0	2	0
AT1G01820	433	295	406	349
AT1G01830	63	39	107	98
AT1G04067	0	0	0	0
AT1G01840	1	0	0	0
AT1G01860	17	24	50	39
AT1G04073	0	0	0	0
AT1G01870	0	0	0	0
AT1G01880	3	1	5	5
AT1G01890	0	0	0	0
AT1G01900	7	11	12	15
AT1G04077	0	0	0	0
AT1G01910	158	215	291	222
AT1G04083	0	0	0	0
AT1G01920	44	37	104	96
AT1G01930	13	8	41	31
AT1G01940	20	21	39	29
AT1G01950	33	31	50	81
AT1G01960	187	382	655	565
AT1G01970	226	94	125	235
AT1G01980	0	0	0	0
AT1G01990	99	108	115	150
AT1G02000	48	58	63	69
AT1G02010	20	20	16	21
AT1G02020	105	82	115	128
AT1G02030	0	0	0	4
AT1G02040	1	0	0	1
AT1G02050	7	6	29	24
AT1G02060	8	3	20	14
AT1G02065	6	1	13	42
AT1G02067	0	0	0	0
AT1G02070	1	2	1	1
AT1G02080	140	184	676	641
AT1G02090	150	122	204	352
AT1G02100	205	153	250	259
AT1G02110	110	57	88	103
AT1G02120	317	280	502	585
AT1G02130	184	201	232	247
AT1G04087	0	0	0	0
AT1G02136	0	0	0	0
AT1G02140	261	319	444	569
AT1G02145	156	86	121	85
AT1G02150	155	217	428	398
AT1G02160	111	82	74	73
AT1G02170	210	267	422	395
AT1G02180	58	36	21	18
AT1G02190	2	4	15	34
AT1G02205	65	30	182	307
