ID	InpSDG	InpWT	Inp_atx345	SDG2_K4me3	WT_K4me2	WT_K4me3	atx345_K4me2	atx345_K4me3	
AT1G44110	16.2264	16.9417	21.6852	14.8855	41.8082	14.4967	32.1932	7.3154
AT1G04050	20.3296	35.7148	32.3751	37.71	66.1697	18.5368	65.528	13.5857
AT1G06830	4.66276	7.63137	8.24648	4.46566	6.17017	1.42591	7.07793	2.09012
AT1G09720	19.9566	26.4046	31.9169	14.8855	48.1911	2.85182	50.0022	9.66678
AT1G15230	13.0557	16.1785	12.3697	70.9544	33.6168	88.4064	42.6959	79.4244
AT1G18270	57.8182	79.9768	78.3415	60.5345	128.829	37.3113	132.198	32.6581
AT1G36270	17.159	21.8257	24.434	4.96184	6.06378	1.66356	8.9045	4.70276
AT1G27170	25.7384	37.2411	31.7642	93.2827	83.6164	48.7186	89.7299	44.6762
AT1G29940	45.322	62.8825	52.8385	65.0001	108.935	92.6841	115.302	82.037
AT1G32060	19.9566	27.7782	24.1286	52.0994	30.1062	155.662	39.0428	134.812
AT1G48267	1.67859	2.89992	2.13798	5.95421	2.65955	24.7158	5.25137	25.6039
AT1G53390	28.7226	41.9726	41.6905	33.7405	64.574	42.7773	73.9758	42.3248
AT1G56070	41.0323	50.5197	50.5479	38.7024	102.021	81.0392	87.2184	74.4604
AT1G59820	56.3262	68.2245	71.6222	104.199	119.254	74.8603	123.065	80.2082
AT1G72420	13.0557	25.4888	20.1581	29.2749	28.6168	38.7372	35.8463	28.2166
AT1G80930	24.8059	45.0251	37.8727	51.107	85.8504	111.696	83.7936	114.434
AT1G02110	29.2821	47.7724	44.2866	131.985	106.701	101.24	83.3369	61.9197
AT1G02520	31.7068	45.6356	48.1045	26.2978	65.425	7.60485	67.3545	8.36046
AT1G03680	7.0874	15.2627	12.3697	51.107	13.8297	83.1781	14.8408	79.6856
AT1G04463	13.8018	15.1101	16.0348	39.1986	29.1487	21.3886	28.3117	25.0814
AT1G04390	27.417	43.1936	38.1781	41.6795	70.5314	39.9255	78.7705	42.0636
AT1G05680	18.278	19.6889	22.6015	25.8016	33.0849	2.85182	36.7596	15.4146
AT1G06070	21.0757	32.357	29.3208	46.6413	46.489	53.4716	42.9242	52.7754
AT1G06450	15.2939	16.3311	18.4782	39.6947	29.9998	23.2899	29.225	27.1715
AT1G04647	12.3097	18.9258	18.7836	130.993	35.3189	131.421	26.2568	128.803
AT1G07260	15.1073	23.5046	24.7394	135.458	89.2547	69.6319	51.6004	31.8743
AT1G07650	36.7426	50.825	52.2277	39.1986	61.2761	57.7493	65.2996	62.7035
AT1G08030	20.5161	28.694	30.3898	36.7176	55.3187	57.7493	53.8836	63.4873
AT1G08315	13.0557	19.8416	19.6999	131.489	36.1699	132.134	28.3117	129.326
AT1G08645	6.71438	11.5997	9.92632	84.8475	22.4466	103.854	21.0055	121.488
AT1G08650	10.0716	17.8574	14.8131	105.191	30.7445	156.375	31.5082	183.146
AT1G08970	11.1906	16.3311	15.7294	15.3817	34.2551	36.836	31.0516	31.613
AT1G09330	14.3613	20.4521	20.0053	39.1986	31.3827	57.7493	34.0197	51.9916
AT1G10040	19.0241	26.7098	24.2813	40.6871	43.5103	23.0522	33.7914	14.1083
AT1G10390	42.8974	67.3087	62.6121	57.5574	123.722	78.9003	131.513	77.073
AT1G10680	38.2346	56.1669	51.7696	24.8092	54.9996	4.75303	55.7102	10.1893
AT1G11310	18.651	32.0518	29.0154	24.313	38.5104	95.2983	45.8924	112.082
AT1G12020	13.0557	15.568	16.7984	37.71	22.8722	81.0392	11.416	86.7398
AT1G13070	11.7502	16.6364	12.9806	7.44277	13.085	3.32712	11.8727	3.39644
AT1G14182	4.66276	3.96831	4.58138	0.496184	1.8085	0.237652	1.36992	0.783793
AT1G12700	15.6669	19.8416	17.2565	26.2978	32.1274	31.8453	36.5313	10.7118
AT1G14560	19.5836	28.5413	24.434	53.5879	46.3826	57.7493	42.6959	67.6675
AT1G15620	7.0874	9.15765	11.148	6.4504	17.8722	1.42591	11.1877	4.4415
AT1G16040	16.4129	24.4204	20.6162	28.7787	26.9147	43.9656	25.8002	48.0727
AT1G17240	18.0915	21.3678	24.8921	31.7558	49.4677	43.2526	55.4819	61.1359
