"ID" "ATX1_ChIP8TSS" "ATX2_ChIP8TSS" "ATXR7_ChIP8TES" "ATX1_ChIP7TSS" "ATX2_ChIP7TSS" "ATXR7_soiTES"
"1" "AT1G01010" 2.27259 0.64032 2.49911 2.73516 5.48345 4.02456
"2" "AT1G01020" -2.34794 -2.56619 13.97525 1.03019 -1.02296 8.52192
"3" "AT1G01030" -0.8602 -0.0687999999999995 -2.70572 -1.06462 -0.49655 -0.0189300000000001
"4" "AT1G01040" 4.23183 11.47038 46.016 2.00481 10.21904 15.64747
"5" "AT1G01050" 5.23479 2.44687 46.63675 3.25671 3.7119 15.91788
"6" "AT1G01060" 2.3925 3.4883 2.96069 7.68482 10.46792 2.11911
"7" "AT1G01070" -1.37109 -2.93556 0.55724 1.76007 -2.51844 1.89107
"8" "AT1G01080" 7.67849 5.61389 11.731 3.99232 6.84112 2.27481
"9" "AT1G01090" 5.15059 4.02925 15.23259 2.28785 4.90284 4.09036
"10" "AT1G01100" 1.7677 5.04829 79.80765 0.35683 3.43533 36.90995
"11" "AT1G01110" 1.67564 2.64419 3.47004 0.5393 2.32771 1.19309
"12" "AT1G01120" -0.94373 -2.94738 -0.732030000000001 -0.29068 -1.96438 3.9412
"13" "AT1G01130" 1.33795 3.43864 -0.85935 -1.3423 0.1691 1.3728
"14" "AT1G01140" 0.75791 3.19209 35.60629 -3.82652 -0.828000000000001 91.52358
"15" "AT1G01150" 3.67979 4.76179 -3.5493 1.99184 7.14594 -1.74889
"16" "AT1G01160" 7.14389 10.87349 39.2036 4.32518 12.15788 27.26249
"17" "AT1G01170" -1.06451 0.799910000000001 42.9918 0.87263 1.08175 27.45046
"18" "AT1G01180" -1.17349 -0.14051 3.34269 1.30078 2.29956 1.55845
"19" "AT1G01190" -1.56746 -2.61669 -2.91263 -0.587120000000001 -4.45545 -0.0553699999999999
"20" "AT1G01200" -1.44263 1.18353 0.35032 3.17487 0.83244 2.37343
"21" "AT1G01210" 6.94734 7.18994 1.33713 5.16906 11.65836 0.62141
"22" "AT1G01220" 6.2784 10.16 15.04159 2.40707 12.76667 9.27464
"23" "AT1G01225" 7.81635 20.03345 4.55234 5.87261 18.72011 4.26136
