"ID" "SDG2_TSS" "SDG2_TSS2" "SDG2_TES" "SDG2_mid" "S2Lb_TSS" "S2Lb_TSS2" "S2Lb_TES" "S2Lb_mid"
"1" "AT1G01010" -0.92399 -1.95372 -0.0395899999999996 -3.8418 1.89255 0.807290000000001 -2.61332 -6.8317
"2" "AT1G01020" 1.01126 1.77826 -0.25887 6.2085 -1.80087 0.82622 -4.57985 2.5871
"3" "AT1G01030" -0.06358 1.37001 -1.10376 -2.5552 -1.97722 4.36861 -0.1192 5.5858
"4" "AT1G01040" 1.26981 8.83271 -1.43681 -18.027 2.54641 7.90126 1.4687 -12.596
"5" "AT1G01050" 0.1045 -0.6541 -2.22978 -3.2778 2.41528 5.42376 1.57856 -3.4078
"6" "AT1G01060" -0.17057 0.66798 -1.92195 -3.4574 3.74241 6.81169 1.3012 -1.3391
"7" "AT1G01070" 2.42737 1.55532 -1.06736 -5.3778 -2.18589 -1.97955 1.28663 -3.2867
"8" "AT1G01080" -1.21944 6.2425 2.31533 7.5149 -2.38253 7.40555 -0.34213 5.5028
"9" "AT1G01090" 13.33441 28.18773 -2.27733 3.0574 9.41611 31.14926 -0.95708 13.4589
"10" "AT1G01100" 5.48742 3.00884 -1.83171 -1.3405 5.95695 2.77622 -0.317299999999999 0.47904
"11" "AT1G01110" -0.78451 2.29202 -3.14259 -10.8984 -0.92562 2.19972 -2.91225 -7.0183
"12" "AT1G01120" 2.97484 25.20217 -1.2066 24.1083 4.25991 27.96579 0.12431 20.0162
"13" "AT1G01130" 5.6744 3.43768 -1.80892 -1.1698 3.89798 3.42252 -3.92618 -4.0316
"14" "AT1G01140" 0.90937 11.72008 1.02577 3.9227 -0.20965 11.23419 1.71493 10.6166
"15" "AT1G01150" -0.35759 -1.73106 -0.17253 -1.0566 -1.4701 -2.79754 -0.13511 -5.3007
"16" "AT1G01160" 1.25334 2.07153 9.63799 1.463 -0.387169999999999 2.15536 11.74649 5.1695
"17" "AT1G01170" 6.75537 19.22514 3.86773 0.763611 7.37072 21.30609 7.23856 1.787355
"18" "AT1G01180" -0.11816 4.15057 -0.34936 3.52791 2.17275 5.97892 0.911309999999999 2.6232
"19" "AT1G01190" -3.40336 -1.69129 0.24375 -3.0948 -0.58245 0.95335 -0.93097 -5.737
"20" "AT1G01200" -2.2128 0.14332 2.02374 -3.0999 -2.44667 -0.23761 1.93293 -3.6111
"21" "AT1G01210" 0.5096 1.2778 -0.49418 0.457 -0.44211 1.30992 -0.6074 0.24186
"22" "AT1G01220" 2.96879 8.03924 -0.90386 -10.4877 1.89459 9.75262 2.16188 -10.232
"23" "AT1G01225" -1.11902 -0.882040000000001 -1.01448 -4.8509 -1.4376 0.89055 -0.76316 0.117000000000001
"24" "AT1G01230" -0.71514 4.62531 1.60021 3.4441 -0.3927 4.58969 -2.02914 -2.0776
"25" "AT1G01240" 3.90538 18.43633 -1.18233 -1.4052 2.43955 15.05708 -0.75763 6.6005
"26" "AT1G01250" -1.75651 -0.47113 -0.95504 -0.25835 -0.127059999999999 -2.90536 0.469819999999999 -0.22877
"27" "AT1G01260" 2.84121 13.17473 -0.15578 3.1602 1.07611 12.66375 3.14116 11.2843
"28" "AT1G01280" 0.183590000000001 -0.71952 -0.2938 -5.812 -0.96514 -2.0437 -1.10984 -4.37613
"29" "AT1G01290" 0.44218 0.5911 -0.0946500000000006 -0.7193 -1.60074 -2.02895 -1.17449 -7.4156
"30" "AT1G01300" 0.14066 12.80677 -0.43644 22.4517 0.20904 8.08802 3.66419 23.2589
"31" "AT1G01310" -0.14535 -0.82407 0.50474 0.12272 -3.40499 -3.01843 6.05806 2.29202
"32" "AT1G01320" 16.45261 34.74223 0.55059 -15.296 17.90405 38.82839 6.54266 15.796
"33" "AT1G01340" -0.565 -3.26024 -1.7352 -15.8411 0.37102 -2.5088 0.56697 -9.0639
"34" "AT1G01350" 0.26073 4.0885 -0.6174 -5.4743 0.46362 3.56792 0.24456 2.0381
"35" "AT1G01355" 0.26484 -3.11864 -3.94259 -4.20312 -1.78496 0.0695600000000001 -1.6585 -2.15523
"36" "AT1G01360" -0.82308 3.96285 0.17605 5.03158 -1.70139 5.49375 1.92389 -0.606299999999999
"37" "AT1G01370" -1.04262 -3.38687 -2.27998 -5.9014 -0.68561 0.580369999999999 -0.6302 -5.7308
"38" "AT1G01380" 0.43222 0.6481 -2.33749 -1.32932 1.54956 -0.76064 -0.533040000000001 -1.45972
"39" "AT1G01390" 1.03695 1.05854 -2.31808 -5.6887 -3.50177 0.444879999999999 -0.505570000000001 0.2209
"40" "AT1G01400" -1.41618 -1.61293 -2.59461 -7.50357 -0.67037 0.846 -2.17803 -5.59271
"41" "AT1G01410" -1.33857 -1.41815 -0.52353 -2.5558 -1.35888 0.03423 -3.01659 -0.195399999999999
"42" "AT1G01420" 0.16248 2.47248 -0.63389 -3.9327 3.43272 1.0306 -2.7885 5.32863
"43" "AT1G01430" -0.62223 13.21232 -0.81387 15.5331 -0.42084 7.57772 -0.0654300000000001 15.9537
"44" "AT1G01440" 1.30767 4.34879 -1.18281 -2.0894 -2.06951 4.2239 0.35326 1.7004
"46" "AT1G01450" -2.75084 -0.480369999999999 -3.15326 -1.3154 -2.2254 -2.21403 0.25144 -1.77423
"47" "AT1G01453" -1.8322 -1.19861 -2.10778 -3.9135 -2.59808 -4.6177 0.86794 -5.42613
"48" "AT1G01460" -2.44395 0.552770000000001 -4.95436 -13.1584 -1.73254 -1.59386 -4.8284 -3.4609
"49" "AT1G01470" -1.58744 1.13711 -2.92257 -1.0211 0.22447 4.59659 -3.22981 2.33263
"50" "AT1G01480" -2.42941 -3.12535 -2.84858 -3.4452 -0.83721 -0.734529999999999 -0.71628 -3.3573
"51" "AT1G01490" 1.514368 24.59791 4.39269 194.0871 -0.96968 26.43302 8.4478 236.6613
"52" "AT1G01500" 2.83757 10.0337 2.07808 1.6816 1.72911 12.42392 -1.21485 5.4173
"53" "AT1G01510" 1.87529 2.74051 -0.43861 -9.2586 -0.67105 3.51299 0.760409999999999 6.817
"54" "AT1G01520" 0.03878 0.27236 -1.39145 -3.9954 0.17439 -1.86919 -0.94019 -5.903
"55" "AT1G01530" -0.50192 -1.46761 -0.95046 -0.32751 -0.40376 -2.87391 -3.64967 -2.31487
"56" "AT1G01540" 7.65338 21.45447 -0.917930000000001 6.0645 6.72168 16.76356 3.71008 20.4368
"57" "AT1G01550" 5.23467 51.88628 1.78238 47.0958 7.14781 56.56969 4.2517 51.5764
"58" "AT1G01560" -1.07076 -2.41317 -3.91007 -4.4216 -0.35853 -0.37476 -2.75802 -6.2575
"59" "AT1G01570" 2.36067 0.92973 -1.31525 -4.9966 -1.63054 -1.08704 -3.43246 -2.4248
"60" "AT1G01580" -0.65522 -1.58479 0.7318 -11.6293 -3.22243 -1.96868 0.0640399999999994 -9.3954
"61" "AT1G01590" -0.17081 -2.48885 0.87321 -10.0948 -2.17569 -2.53558 -3.83038 -6.2687
"62" "AT1G01600" -0.466270000000001 -0.30328 1.45952 -8.3175 1.34526 -1.83417 -3.69121 -10.4991
