ID	ATX1-tag_hub	ATX2_tag_hub	ATX1_tag	ATX2_tag
AT1G01010	7.51616	7.5543	6.57529	4.83469
AT1G01020	5.59499	3.16227	4.14244	1.41706
AT1G01030	3.26936	3.51363	3.41915	4.50126
AT1G01040	6.06685	8.78407	14.2026	14.8375
AT1G01050	6.53872	7.65971	7.39721	5.08476
AT1G01060	8.96546	8.36244	7.85748	8.83581
AT1G01070	4.2805	3.30281	2.63012	1.91721
AT1G01080	6.13426	8.15162	9.17254	10.0028
AT1G01090	8.12284	8.43271	11.2438	11.2532
AT1G01100	5.83092	6.04344	7.06844	8.91917
AT1G01110	6.84206	5.93803	7.75885	5.50155
AT1G01120	4.88719	2.56495	3.09039	2.41735
AT1G01130	6.33649	6.74617	7.36433	7.41875
AT1G01140	4.75237	5.65694	6.01639	8.83581
AT1G01150	8.93176	6.57049	9.36979	8.16896
AT1G01160	9.16769	9.06516	12.3287	14.0039
AT1G01170	7.17911	3.72445	5.32599	7.25204
AT1G01180	4.65126	3.82986	5.65475	5.50155
AT1G01190	7.21282	3.86499	3.41915	2.75077
AT1G01200	5.6624	4.63799	4.83284	4.16784
AT1G01210	9.74067	9.17057	12.6903	10.9197
AT1G01220	11.8978	9.83816	16.7012	14.6708
AT1G01225	9.47103	10.6112	18.5095	18.5886
AT1G01230	11.4596	10.822	9.92869	12.2534
AT1G01240	5.76351	8.15162	11.3753	12.4202
AT1G01250	6.43761	4.21636	6.31228	4.75133
AT1G01260	6.06685	8.39757	9.27116	6.58518
AT1G01280	9.40362	6.46508	7.92323	5.50155
AT1G01290	6.74095	10.0841	12.8218	11.6699
AT1G01300	3.60641	4.11095	6.21365	3.91777
AT1G01305	6.74095	4.39204	5.32599	4.16784
AT1G01310	3.94346	4.14608	5.98352	6.25176
AT1G01320	5.15683	7.02726	10.8492	10.1695
AT1G01340	5.22424	5.76235	5.589	6.1684
AT1G01350	10.5496	7.27321	10.0273	8.25232
AT1G01355	8.05543	6.57049	11.2438	12.5035
AT1G01360	5.35905	4.67313	7.13419	6.50183
AT1G01370	5.99945	10.5058	13.578	13.087
AT1G01380	7.71839	3.75958	5.62188	5.33483
AT1G01390	3.5727	4.42717	6.77255	8.58574
