ID	ATX1_hub	ATX2_hub	ATX2	ATX1	
AT1G01010	6.40773	5.15257	7.90455	7.22988
AT1G01020	6.97731	6.80528	4.50259	5.55766
AT1G01030	5.83816	4.61787	5.60323	4.8691
AT1G01040	5.62457	8.60381	14.5084	10.2792
AT1G01050	8.47245	8.40938	9.15527	9.54147
AT1G01060	9.18442	9.96487	9.95573	9.54147
AT1G01070	2.13591	3.06237	3.00173	2.11486
AT1G01080	8.54364	10.0135	10.6561	11.1645
AT1G01090	9.6116	6.9025	9.5555	7.22988
AT1G01100	6.62132	8.99269	9.95573	6.78723
AT1G01110	5.98055	9.91626	7.90455	5.65603
AT1G01120	3.84464	4.32621	4.75274	2.95097
AT1G01130	6.05175	4.86091	8.8551	4.18054
AT1G01140	6.26534	7.4372	7.65441	7.13151
AT1G01150	10.466	11.0829	8.5049	10.3284
AT1G01160	10.3948	12.8814	12.4071	12.64
AT1G01170	5.55337	7.77746	7.60438	6.04949
AT1G01180	5.69576	5.63866	6.2536	3.68871
AT1G01190	4.91259	4.37482	2.9517	3.68871
AT1G01200	6.55013	5.97892	7.00403	7.47579
AT1G01210	10.5372	13.2703	10.5061	9.19719
AT1G01220	10.5372	17.3535	15.9092	14.1647
AT1G01225	8.40125	14.4855	16.9097	8.45945
AT1G01230	14.8802	13.2703	10.8563	12.5416
AT1G01240	7.04851	11.9092	14.5584	9.00046
AT1G01250	2.70549	2.62489	4.50259	3.54116
AT1G01260	6.76372	9.67322	9.60553	6.98396
AT1G01280	5.05499	10.4996	9.05522	7.03314
AT1G01290	10.466	11.569	12.107	9.04964
AT1G01300	5.83816	8.31216	9.10524	5.55766
AT1G01305	4.699	5.24979	4.60265	5.50848
AT1G01310	6.12294	6.51362	6.85395	5.50848
AT1G01320	9.96758	12.0551	9.40542	8.41026
AT1G01340	8.68604	4.95813	7.8045	5.70521
AT1G01350	11.6051	11.2773	9.75562	11.2137
AT1G01355	5.55337	7.63163	10.5561	4.81992
AT1G01360	6.69252	10.5482	7.60438	5.65603
AT1G01370	13.1003	10.8398	12.6573	7.91844
AT1G01380	4.05823	7.58302	5.10294	5.01665
AT1G01390	5.83816	6.22197	6.30363	4.08217
AT1G01400	4.55661	5.8817	5.40311	5.21338
AT1G01410	4.8414	4.66648	3.25187	4.574
AT1G01420	7.04851	7.68024	8.8551	5.60684
AT1G01430	7.1197	8.99269	7.70444	7.82007
AT1G01440	7.2621	7.63163	8.20473	8.0168
AT1G01448	7.68928	8.5066	9.30536	7.52497
AT1G01450	5.69576	2.28463	4.40254	3.04934
AT1G01453	7.04851	8.40938	8.55493	4.77073
AT1G01460	6.19414	8.89547	6.95401	6.44295
AT1G01470	5.76696	6.70806	6.50375	4.13136
AT1G01480	5.26858	5.10396	6.55377	5.70521
