chr	st	en	ID	blank	dir	Mll34_ChIP-seq_WT_rep1	Mll34_ChIP-seq_WT_rep2	Mll34_ChIP-seq_dKO_rep1	Mll334_ChIP-seq_dKO_rep2	
chr1	3052045	3053845	11.8890673274613	0	+	8.66474	12.2447	6.22897	4.67874	
chr1	3670910	3672710	10.9775532354652	0	+	4.45488	3.13966	5.23751	2.67357	
chr1	3943145	3944945	12.4302084417238	0	+	5.90272	4.86647	5.08663	1.84314	
chr1	4140230	4142030	16.071977692831	0	+	8.37518	9.73295	5.56081	4.80027	
chr1	4649660	4651460	13.1245691279349	0	+	12.34	12.3075	5.49615	2.71408	
chr1	4797395	4799195	8.61684952288994	0	+	7.10553	4.99206	6.91868	4.80027	
chr1	4798125	4799925	5.62524770696299	0	+	4.36578	3.45363	3.83653	2.77484	
chr1	4809375	4811175	11.133487630486	0	+	9.93438	6.4991	4.61246	1.76212	
chr1	4847325	4849125	12.3095638883294	0	+	3.96484	4.70949	5.04353	4.05086	
chr1	4847815	4849615	8.27053041435721	0	+	2.89567	4.39552	3.68565	3.50399	
chr1	4960560	4962360	17.9519319518209	0	+	12.1173	7.56658	7.30665	3.30145	
chr1	5007315	5009115	8.3281261672483	0	+	2.65065	3.95597	2.17691	2.71408	
chr1	5008200	5010000	11.027048930759	0	+	3.09614	5.36882	3.0606	3.90908	
chr1	5009315	5011115	10.801339768272	0	+	3.14069	3.79899	3.12526	3.56476	
chr1	5010380	5012180	8.4235057136925	0	+	2.07152	1.8838	2.00448	1.96467	
chr1	5072685	5074485	11.4563895073104	0	+	3.18524	2.7629	4.09517	2.10645	
chr1	5124190	5125990	11.8109176051494	0	+	6.79369	4.20714	2.71575	1.60009	
chr1	5250330	5252130	17.3558671859717	0	+	8.33063	6.4363	2.02603	2.06594	
chr1	6048465	6050265	11.6770397682322	0	+	9.08796	5.65139	4.00896	1.9039	
chr1	6132355	6134155	12.3555715559304	0	+	9.02113	7.50379	2.32778	1.43806	
chr1	6204445	6206245	8.54833779019912	0	+	7.77377	6.34211	5.34528	4.94205	
chr1	6271645	6273445	16.5085703993839	0	+	10.8699	8.47708	3.59944	2.71408	
chr1	6438015	6439815	18.78744050718	0	+	16.7281	12.5272	4.39692	2.26848	
chr1	6447360	6449160	14.3838894169365	0	+	10.1571	7.47239	2.69419	1.35704	
chr1	7036525	7038325	12.2199978813765	0	+	7.90741	5.5886	3.6641	2.47102	
chr1	7079320	7081120	12.9310984629168	0	+	4.92264	4.17575	3.68565	2.41026	
chr1	7115170	7116970	22.3462340337933	0	+	36.6191	22.5114	11.6174	5.81298	
chr1	7260890	7262690	11.1063094633308	0	+	1.87105	1.63262	1.40098	1.68111	
chr1	7302060	7303860	15.1124432973326	0	+	19.7351	9.79574	10.5828	4.43569	
chr1	7308940	7310740	12.1220145753938	0	+	8.90976	4.23854	4.76333	2.3495	
chr1	7441200	7443000	11.9251772772979	0	+	11.7386	4.20714	1.25011	0.587375	
chr1	7487785	7489585	11.4710210218413	0	+	1.44784	2.16637	1.42253	1.15449	
chr1	7660950	7662750	14.7567050595571	0	+	6.63777	10.1725	2.09069	0.972206	
chr1	7721875	7723675	13.6965111475813	0	+	4.32123	1.31866	3.51323	0.749409	
chr1	7937575	7939375	11.9189824279012	0	+	0	0	0	0	
