chr	st	en	ID	blank	dir	WT_ChIP_Set1A_1	WT_ChIP_Set1A_2	
chr1	3052110	3053910	7.65444788405079	0	+	1.02186	1.31769
chr1	4140150	4141950	7.84335168989954	0	+	0.613117	0.878462
chr1	4797355	4799155	7.31065058525264	0	+	8.10676	9.80949
chr1	4809195	4810995	8.34357090879098	0	+	2.52059	2.52558
chr1	4847325	4849125	5.8853671057148	0	+	18.666	24.9264
chr1	4960055	4961855	12.9811619120743	0	+	1.63498	1.86673
chr1	5217245	5219045	9.61804022849373	0	+	1.9756	1.53731
chr1	5250845	5252645	12.2388699432333	0	+	1.36248	1.90333
chr1	5768005	5769805	7.9143923908846	0	+	1.02186	0.915065
chr1	6048455	6050255	8.22158925600251	0	+	0.749365	1.61051
chr1	6132250	6134050	8.88435810939656	0	+	1.43061	1.64712
chr1	6271890	6273690	9.86152318534278	0	+	1.7031	2.52558
chr1	6437925	6439725	10.0611634329581	0	+	1.7031	2.04975
chr1	6447425	6449225	10.1635315656186	0	+	1.43061	1.57391
chr1	7036720	7038520	11.9397744888943	0	+	1.43061	1.72032
chr1	7041845	7043645	8.0300831277045	0	+	1.29436	1.86673
chr1	7078775	7080575	5.37766739166007	0	+	7.69802	7.90616
chr1	7301295	7303095	9.89900748530582	0	+	1.83935	1.75692
chr1	7302670	7304470	11.5705365218731	0	+	1.29436	2.67199
chr1	7508125	7509925	7.79523360749993	0	+	1.29436	1.20789
chr1	8571410	8573210	11.4691090260387	0	+	1.43061	1.86673
chr1	8925925	8927725	10.2793912994973	0	+	0.272496	0.732052
chr1	8930385	8932185	11.9848421216973	0	+	0.681241	0.439231
chr1	9932910	9934710	7.92496079714194	0	+	14.2379	16.6542
chr1	10160490	10162290	7.62001147002591	0	+	1.49873	1.90333
chr1	10385115	10386915	9.64234254669343	0	+	1.49873	1.09808
chr1	10867620	10869420	8.52557611251992	0	+	1.77123	1.68372
chr1	11267210	11269010	10.0286315066158	0	+	2.58871	2.7818
chr1	11318815	11320615	7.75651872372135	0	+	2.11185	1.97654
chr1	11319780	11321580	10.9632482537276	0	+	1.77123	2.01314
chr1	11385145	11386945	13.1290138966585	0	+	1.43061	1.57391
chr1	11390075	11391875	10.9006939124843	0	+	1.83935	2.19616
chr1	11456375	11458175	9.31479180327661	0	+	1.9756	1.72032
chr1	11491230	11493030	7.89968181130495	0	+	2.11185	2.52558
chr1	11609455	11611255	7.60385063701098	0	+	0	0
chr1	11615820	11617620	7.62284427138674	0	+	0.681241	0.402629
chr1	12009880	12011680	7.96280893057361	0	+	1.02186	1.17128
chr1	12707415	12709215	7.77857343621385	0	+	2.38434	2.92821
chr1	12708015	12709815	5.33852160814428	0	+	2.79309	3.07462
chr1	12733920	12735720	15.9938973660124	0	+	2.65684	2.56218
chr1	12743055	12744855	9.53607705187683	0	+	2.52059	1.97654
chr1	12804280	12806080	10.9467475815698	0	+	2.24809	1.72032
chr1	12824470	12826270	8.27813395022597	0	+	1.63498	2.04975
chr1	12825195	12826995	10.2602064345099	0	+	2.11185	2.70859
chr1	12825755	12827555	10.4555542484835	0	+	2.38434	2.8184
chr1	13047165	13048965	8.34948987131608	0	+	1.56685	1.4275
chr1	13048835	13050635	8.72135190399693	0	+	1.77123	2.52558
chr1	13063545	13065345	13.2789822669573	0	+	3.13371	2.7818
chr1	13067830	13069630	15.1594905696814	0	+	6.47179	4.13609
chr1	13073145	13074945	15.2989373145501	0	+	1.9756	1.57391
chr1	13084245	13086045	14.4712047463635	0	+	1.83935	3.44064
chr1	13093060	13094860	12.3634253636277	0	+	3.06558	2.63539
chr1	13115660	13117460	5.55344162568245	0	+	2.52059	2.30596
chr1	13589430	13591230	8.08854411749952	0	+	1.22623	1.4275
chr1	13595905	13597705	9.67943247105191	0	+	1.43061	1.97654
chr1	14214750	14216550	8.18964005068272	0	+	1.83935	1.4275
chr1	14621190	14622990	8.98008304765893	0	+	1.15811	1.17128
chr1	16119550	16121350	11.2559238422361	0	+	2.11185	2.26936
chr1	16645755	16647555	6.12743757299207	0	+	7.3574	9.37026
chr1	16646105	16647905	9.0777619492431	0	+	7.3574	9.18725
chr1	17196880	17198680	7.81973791351442	0	+	1.49873	1.61051
chr1	17239860	17241660	9.55297654678769	0	+	1.9756	2.26936
chr1	17378780	17380580	9.37301184380797	0	+	0.613117	0.183013
chr1	17676285	17678085	7.96244992576389	0	+	0.817489	1.61051
chr1	17921355	17923155	10.0345983535951	0	+	1.36248	1.3543
chr1	19165495	19167295	14.5195454013438	0	+	0.613117	0.585641
chr1	20422105	20423905	7.78033576535528	0	+	0.0681241	0.14641
chr1	20750840	20752640	8.69627629004404	0	+	2.31622	2.70859
chr1	20857100	20858900	12.0152365199228	0	+	2.99746	2.48898
chr1	20897535	20899335	11.2037825862215	0	+	2.04372	2.37917
chr1	20944265	20946065	9.6877686698666	0	+	2.17997	3.07462
chr1	20963930	20965730	8.5058772798502	0	+	1.29436	2.23276
